match_id,coach_id,team
28894,508,Wests Tigers
28893,469,Gold Coast Titans
28893,1155,Warriors
28892,5544,North Queensland Cowboys
28892,6075,Newcastle Knights
28890,21,Canberra Raiders
28890,505,Manly Warringah Sea Eagles
28895,902,Melbourne Storm
28895,211,Parramatta Eels
28896,1202,Cronulla Sutherland Sharks
28896,2924,Sydney Roosters
28897,16571,Brisbane Broncos
28897,6075,Newcastle Knights
28900,508,Wests Tigers
28900,1822,South Sydney Rabbitohs
28903,1155,Warriors
28903,21,Canberra Raiders
28898,260,Canterbury Bankstown Bulldogs
28898,239,Penrith Panthers
28902,505,Manly Warringah Sea Eagles
28902,902,Melbourne Storm
28899,1202,Cronulla Sutherland Sharks
28899,5544,North Queensland Cowboys
28901,2924,Sydney Roosters
28901,469,Gold Coast Titans
28904,211,Parramatta Eels
28904,3083,St George Illawarra Dragons
28905,16571,Brisbane Broncos
28905,260,Canterbury Bankstown Bulldogs
28906,1822,South Sydney Rabbitohs
28906,2924,Sydney Roosters
28910,3083,St George Illawarra Dragons
28910,1155,Warriors
28908,902,Melbourne Storm
28908,469,Gold Coast Titans
28911,5544,North Queensland Cowboys
28911,508,Wests Tigers
28912,505,Manly Warringah Sea Eagles
28912,239,Penrith Panthers
28907,6075,Newcastle Knights
28907,211,Parramatta Eels
28909,21,Canberra Raiders
28909,1202,Cronulla Sutherland Sharks
28966,1822,South Sydney Rabbitohs
28966,902,Melbourne Storm
28968,1202,Cronulla Sutherland Sharks
28968,5544,North Queensland Cowboys
28967,2924,Sydney Roosters
28967,505,Manly Warringah Sea Eagles
28969,260,Canterbury Bankstown Bulldogs
28969,6075,Newcastle Knights
28970,505,Manly Warringah Sea Eagles
28970,1202,Cronulla Sutherland Sharks
28971,902,Melbourne Storm
28971,6075,Newcastle Knights
28983,1822,South Sydney Rabbitohs
28983,505,Manly Warringah Sea Eagles
28984,2924,Sydney Roosters
28984,6075,Newcastle Knights
28985,2924,Sydney Roosters
28985,505,Manly Warringah Sea Eagles
29008,1822,South Sydney Rabbitohs
29008,2924,Sydney Roosters
29009,260,Canterbury Bankstown Bulldogs
29009,16571,Brisbane Broncos
29010,239,Penrith Panthers
29010,6075,Newcastle Knights
29011,505,Manly Warringah Sea Eagles
29011,902,Melbourne Storm
29012,407,North Queensland Cowboys
29012,211,Canberra Raiders
29013,3083,St George Illawarra Dragons
29013,508,Wests Tigers
29014,19978,Parramatta Eels
29014,1155,Warriors
29015,2839,Cronulla Sutherland Sharks
29015,469,Gold Coast Titans
29350,505,Manly Warringah Sea Eagles
29350,1822,South Sydney Rabbitohs
29351,16571,Brisbane Broncos
29351,407,North Queensland Cowboys
29352,1155,Warriors
29352,3083,St George Illawarra Dragons
29353,902,Melbourne Storm
29353,239,Penrith Panthers
29354,2924,Sydney Roosters
29354,19978,Parramatta Eels
29355,469,Gold Coast Titans
29355,508,Wests Tigers
29356,6075,Newcastle Knights
29356,211,Canberra Raiders
29357,260,Canterbury Bankstown Bulldogs
29357,2839,Cronulla Sutherland Sharks
29358,508,Wests Tigers
29358,1822,South Sydney Rabbitohs
29359,16571,Brisbane Broncos
29359,2924,Sydney Roosters
29360,239,Penrith Panthers
29360,260,Canterbury Bankstown Bulldogs
29361,2839,Cronulla Sutherland Sharks
29361,3083,St George Illawarra Dragons
29362,407,North Queensland Cowboys
29362,1155,Warriors
29363,505,Manly Warringah Sea Eagles
29363,19978,Parramatta Eels
29364,211,Canberra Raiders
29364,469,Gold Coast Titans
29365,902,Melbourne Storm
29365,6075,Newcastle Knights
29366,2924,Sydney Roosters
29366,505,Manly Warringah Sea Eagles
29367,3083,St George Illawarra Dragons
29367,16571,Brisbane Broncos
29368,1155,Warriors
29368,508,Wests Tigers
29369,19978,Parramatta Eels
29369,239,Penrith Panthers
29370,260,Canterbury Bankstown Bulldogs
29370,902,Melbourne Storm
29371,1822,South Sydney Rabbitohs
29371,211,Canberra Raiders
29372,6075,Newcastle Knights
29372,2839,Cronulla Sutherland Sharks
29373,469,Gold Coast Titans
29373,407,North Queensland Cowboys
29374,2924,Sydney Roosters
29374,260,Canterbury Bankstown Bulldogs
29375,16571,Brisbane Broncos
29375,19978,Parramatta Eels
29376,2839,Cronulla Sutherland Sharks
29376,1155,Warriors
