,player_id,player_name_comma,player_birthday,total_matches,total_points
0,1632,"BEATTIE, Chris",1975-08-26,92,24
0,1149,"BEATTIE, Michael",1960-07-01,211,241
0,11530,"BEATTIE, Ray",-,2,-
0,589,"BEAUCHAMP, Keith",1967-12-20,67,92
0,11531,"BEAUCHAMP, Paul",1957-03-06,7,3
0,10287,"BEAUMONT, Ron",1928-01-30,115,15
0,9527,"BEAUMONT, Tommy",-,13,9
0,9541,"BEAUMONT, Vern",1909-01-20,27,15
0,11532,"BEAUMONT, Walter",1897-07-21,3,-
0,11535,"BEAVEN, Billy",1928-07-02,10,18
0,3985,"BEAVEN, Mark",1958-04-30,80,35
0,1081,"BEAVEN, Paul",1964-12-19,64,36
0,5981,"BEAVEN, Ray",1936-07-26,31,33
0,9580,"BEAVER, Edmund",1911-07-08,60,12
0,11536,"BEAZLEY, F",-,4,-
0,10008,"BECKETT, John",1920-09-24,1,3
0,11537,"BECKETT, Joseph",-,1,-
0,1276,"BECKETT, Lenny",1980-05-13,59,80
0,648,"BECKETT, Robbie",1972-08-14,150,268
0,3886,"BECKETT, Rowland",1955-01-08,89,58
0,11538,"BECKHOUSE, Arthur",1913-02-17,3,-
0,11539,"BECKHOUSE, Robert",-,1,-
0,9710,"BECKLEY, John",1915-06-13,27,21
0,10167,"BEDDY, Sam",-,4,3
0,11541,"BEEBY, Denis",-,7,-
0,11542,"BEECHE, Barry",-,1,-
0,4026,"BEECHER, John",1955-07-29,11,-
0,495,"BEECRAFT, Denis",1968-05-05,40,20
0,8908,"BEED, Arthur",-,37,12
0,10974,"BEER, Bruce",-,35,28
0,11544,"BEERS, Terry",1925-01-11,4,-
0,11545,"BEESLEY, Geoff",-,6,-
0,10656,"BEETON, Boyce",1939-06-22,47,80
0,1509,"BEETSON, Arthur",1945-01-22,223,74
0,10447,"BEGER, Dudley",1928-12-30,9,10
0,10530,"BEGGS, Alan",-,2,3
0,11547,"BEGLEY, Jerry",1916-07-05,4,-
0,11548,"BEHL, Noel",1908-01-30,6,-
0,11549,"BEIBER, Roy",1901-08-30,7,-
0,901,"BELCHER, Gary",1962-05-28,148,572
0,22224,"BELL, C",-,2,-
