year,match_no,date,time,time_24hr,match_id,venue_id,crowd,pom_id,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
2018,1,2018-06-06,8:05 PM,20:05:00,38215,37,87122,19474,Maroons,6,12,1,Blues,8,22,4
2018,2,2018-06-24,7:45 PM,19:45:00,38216,20,82223,17201,Blues,12,18,6,Maroons,10,14,8
2018,3,2018-07-11,8:05 PM,20:05:00,38217,1097,51214,735,Maroons,8,18,8,Blues,12,12,3
2019,1,2019-06-05,8:15 PM,20:15:00,38546,1097,52191,735,Maroons,0,18,5,Blues,8,14,3
2019,2,2019-06-23,5:40 PM,17:40:00,38563,804,59721,735,Maroons,6,6,6,Blues,18,38,7
2019,3,2019-07-10,8:15 PM,20:15:00,38575,20,82565,735,Blues,8,26,8,Maroons,8,20,6
2020,1,2020-11-04,8:00 PM,20:00:00,40245,33,25218,735,Maroons,0,18,2,Blues,10,14,3
2020,2,2020-11-11,8:10 PM,20:10:00,40246,20,36212,735,Blues,18,34,5,Maroons,4,10,3
2020,3,2020-11-18,8:10 PM,20:10:00,40247,1097,49155,735,Maroons,12,20,6,Blues,6,14,7
2021,1,2021-06-09,8:00 PM,20:00:00,45336,985,27533,735,Maroons,6,6,4,Blues,20,50,4
2021,2,2021-06-27,8:00 PM,20:00:00,45375,1097,52273,735,Maroons,0,0,6,Blues,18,26,2
2021,3,2021-07-14,8:00 PM,20:00:00,45376,149,26307,735,Blues,6,18,2,Maroons,8,20,5
2022,1,2022-06-08,8:30 PM,20:30:00,49545,20,80512,735,Blues,4,10,3,Maroons,6,16,4
2022,2,2022-06-26,7:50 PM,19:50:00,51468,804,59358,735,Blues,14,44,5,Maroons,12,12,8
2022,3,2022-07-13,8:10 PM,20:10:00,51534,1097,52385,735,Maroons,10,22,4,Blues,12,12,4
2023,1,2023-05-31,7:35 PM,19:35:00,54602,33,48613,735,Maroons,10,26,6,Blues,6,18,8
2023,2,2023-06-21,8:05 PM,20:05:00,54603,1097,52433,735,Maroons,10,32,2,Blues,0,6,9
2023,3,2023-07-12,8:05 PM,20:05:00,54604,20,75342,735,Blues,18,24,6,Maroons,10,10,5
2024,1,2024-06-05,8:05 PM,20:05:00,63125,20,77214,735,Blues,6,10,2,Maroons,20,38,2
2024,2,2024-06-26,8:05 PM,20:05:00,63126,37,90084,735,Blues,34,38,7,Maroons,0,18,9
