,player_id,player_name_comma,player_birthday,total_matches,total_points
0,28258,"MARTIN, Liam",1997-03-05,11+,8
0,1641,"MASON, Willie",1980-04-15,13,4
0,22727,"MATTERSON, Ryan",1994-10-13,1,-
0,236,"MATTERSON, Terry",1967-03-04,1,-
0,20803,"MBYE, Moses",1993-08-13,3,-
0,968,"MELROSE, Tony",1959-09-07,1,4
0,918,"MENINGA, Mal",1960-07-08,32,161
0,263,"MENZIES, Steve",1973-12-04,20,16
0,1555,"MERLO, Paul",1955-04-08,1,-
0,13731,"MERRIN, Trent",1989-10-07,13,4
0,2754,"MERRITT, Nathan",1983-05-26,1,-
0,1631,"MEYERS, Brad",1980-01-05,3,-
0,893,"MILES, Gene",1959-07-21,19,23
0,20350,"MILFORD, Anthony",1994-07-11,2,-
0,938,"MILLER, Gavin",1960-01-04,5,-
0,834,"MINICHIELLO, Anthony",1980-05-24,11,32
0,22609,"MITCHELL, Latrell",1997-06-16,8+,36
0,1398,"MOGG, Adam",1977-07-31,2,12
0,20827,"MOLO, Francis",1994-09-03,2,-
0,838,"MONAGHAN, Joel",1982-04-22,3,-
0,1278,"MOODIE, Jason",1974-05-29,3,8
0,249,"MOORE, Billy",1971-05-07,17,4
0,256,"MOORE, Danny",1971-11-02,4,4
0,14542,"MORGAN, Michael",1991-12-27,12,4
0,3701,"MORRIS, Brett",1986-08-23,15,16
0,5548,"MORRIS, Josh",1986-08-23,15,24
0,1511,"MORRIS, Rod",1950-06-12,4,-
0,969,"MORRIS, Steve",1957-06-19,2,-
0,1142,"MORTIMER, Chris",1958-08-19,9,4
0,1548,"MORTIMER, Steve",1956-07-15,9,11
0,20851,"MOSES, Mitchell",1994-09-17,4+,-
0,20371,"MOYLAN, Matt",1991-06-16,3,-
0,1121,"MUGGLETON, John",1960-01-16,2,-
0,398,"MUIR, Adam",1971-12-07,13,8
0,1615,"MULLEN, Jarrod",1987-04-09,1,-
0,206,"MULLINS, Brett",1972-01-21,5,16
0,528,"MUNDINE, Anthony",1975-05-21,3,4
0,20831,"MUNSTER, Cameron",1994-09-13,18,12
0,23476,"MURRAY, Cameron",1998-01-16,14+,4
0,1533,"MURRAY, Mark",1959-05-01,15,4
0,153,"MYLES, Nate",1985-06-24,32,4
0,189,"MacDOUGALL, Adam",1975-05-08,11,16
0,1531,"McCABE, Paul",1959-08-04,5,-
0,395,"McCORMACK, Robbie",1964-10-14,2,-
0,7732,"McCULLOUGH, Andrew",1990-01-30,4,-
0,727,"McGAW, Mark",1964-05-17,13,24
0,558,"McGREGOR, Paul",1967-12-31,14,16
0,540,"McGUINNESS, Ken",1975-09-14,4,8
0,867,"McGUIRE, Bruce",1962-01-31,5,4
0,120,"McGUIRE, Casey",1980-01-24,2,-
0,13586,"McGUIRE, Josh",1990-03-02,14,4
